id,item_group_id,title,description,link,image_link,price,availability,condition
PIN-101,PIN-1,Undated 90 Day Planner | Queen Mother of Ambition,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/copy-of-the-goal-getter,https://drive.google.com/file/d/1y32kxQkR7GM3o3gWZgWV_z4bujUmtNmF/view?usp=sharing,48.99,in stock,new
PIN-102,PIN-2,Undated 90 Day Planner | The Field of Dreams,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/field-of-dreams-1,https://drive.google.com/file/d/139S_xE3ee2Kvuq1XbdcWmzK5Hg_rGPyz/view?usp=sharing,48.99,in stock,new
PIN-103,PIN-3,Undated 90 Day Planner |The Goal Getter,"Our ultra lux B5 (7x10) hardcover with gold double o hardware is the #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Our 312 pages are ultra white high quality 70lbs paper. Allowing you to write in various pin colors and weights without bleeding. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. ",https://www.theambitionplanner.com/product-page/goal-d-getter,https://drive.google.com/file/d/1gB5IGfQ0Ue616_-6f-XGZ0lHtIKV-T-a/view?usp=sharing,48.99,in stock,new
PIN-104,PIN-4,Undated Digital Annual Planner | Queen Mother of Ambition,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/queen-mother-annual-digital-planner-pink-mode,https://drive.google.com/file/d/1Nzz_IAsLBPffmaSO9cFG_cdf342yU_NV/view?usp=sharing,17.99,in stock,new
PIN-105,PIN-5,Undated Digital Annual Planner | Stroke of Genius,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/stroke-of-genius-annual-digital-planner-pink-mode,https://drive.google.com/file/d/1wDuRR8B0zdtQR6cB6pSrvEqD4V2iE_44/view?usp=sharing,17.99,in stock,new
PIN-106,PIN-6,Undated Digital Annual Planner | Intentionality,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/intentionality,https://drive.google.com/file/d/1iZhw45BGEr2WDa1z9vPpdSYBpHyDi5eE/view?usp=sharing,17.99,in stock,new
PIN-107,PIN-7,Undated Digital Annual Planner | Fire Starter,"Our ultra lux and hyperlinked Undated Annual Digital Planners are now offer Pink Mode™?. Now, you can have all the benefits of our proven 90-day planner system in an annual digital planner.  #1 90 day planner for entrepreneurs and professionals. This UNDATED 90 day planner is the perfect combination of planner and journal.  Our 4 tab approach to success allows you to focus in the following areas Goal'd Up - Goal Setting, Show Up - Day Planning, Level Up - Success Tool, and Glow Up - SelfCare. Each undated month is instectivly hyperlinked to help you move through your planner with ease and exacting percision. Our unique approach to planning your day offer a page - a - day undated schedule spread, an abundance of notes pages, an affirmation directory, a vision board, a daily guided gratitude and prayer journal, a financial, goals, and selfcare weekly checkin and habit trackers make this planner the most inclusive planner on the market. All of our planners include a free digital sticker pack to get you started. We recommend using our digital planner on an iPad, iPad Pro, or Android devices using the following apps:
GoodNotes - iOS
Zoomnotes - iOS
Notability - iOS",https://www.theambitionplanner.com/product-page/firestarter-annual-digital-planner-pink-mode,https://drive.google.com/file/d/19QqCODbuP7gtPGu0jMH6PpcQ5dcTMBZ7/view?usp=sharing,17.99,in stock,new
PIN-108,PIN-8,Daily Devotional for Women | 90 Day Devotional | Ambitious Faith,"Ambitious Faith is a 90-Day Devotional that brings to life the stories of ambitious women in the Bible who created or changed history. In partnership with The Ambition Planner®, this 90-day devotional has been mindfully curated to help ambitious women start each day spiritually focused. The founder of The Ambition Planner® and the author of the Foreword, S. Deon Stokes, measures her daily success with how spiritually centered she is in her mission, vision, and purpose (MVP).",https://www.theambitionplanner.com/product-page/ambitious-faith-90-day-devotional,https://drive.google.com/file/d/1sMKHVy_9vmIMuko0l_TgFagDutoROIGW/view?usp=sharing,12.99,in stock,new
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
